Subject	Language	AgeGroup	Group	Trial	ID	Type	SpatialRelation	TargetPic	ContrastPic	CompPic	DistrPic	Pic1Position	Pic2Position	Pic3Position	Pic4Position	TrialStartTime	PreviewTime	ArrowTime	VisualDisplayTime	NoiseDisplayTime	TrialEndTime	ReactionTime
201	4	1	1	1	1	P	right	p_frame_lipstick_right.JPG	p_frame_lipstick_behind.JPG	p_frame_lipstick_under.JPG	p_frame_lipstick_on.JPG	6	7	8	9	125705	127721	128737	129270	131286	161487	30196
201	4	1	1	2	2	P	on	p_racket_tennisball_on.JPG	p_racket_tennisball_front.JPG	p_racket_tennisball_left.JPG	p_racket_tennisball_under.JPG	7	6	9	8	161776	163792	164808	165341	167357	179305	11944
201	4	1	1	3	3	P	left	p_potato_ring_left.JPG	p_potato_ring_right.JPG	p_potato_ring_front.JPG	p_potato_ring_on.JPG	7	9	6	8	179569	181585	182602	183135	185151	198248	13094
201	4	1	1	35	4	FC	on	f_tray_ball_on.jpg	f_tray_ball_left.jpg	f_tray_ball_right.jpg	f_tray_ball_front.jpg	7	8	9	6	362255	364288	365304	365854	367887	375770	7877
201	4	1	1	20	5	EN	right	n_vase_flower1_right.jpg	n_vase_flower1_front.jpg	n_vase_flower1_on.jpg	n_vase_flower1_in.jpg	7	6	9	8	376084	378100	379116	379649	381665	390445	8776
201	4	1	1	81	6	FBE	on	f_shoe_cam_on.jpg	f_shoe_cam_front.jpg	f_shoe_cam_behind.jpg	f_shoe_cam_in.jpg	8	6	7	9	390712	392728	393744	394277	396293	403211	6912
201	4	1	1	5	7	EC	left	c_cup_chocolate_left.jpg	c_cup_chocolate_right.jpg	c_cup_chocolate_behind.jpg	c_cup_chocolate_on.jpg	9	7	6	8	403507	405523	406540	407073	409089	418781	9689
201	4	1	1	42	8	FC	in	f_plate_cheese_in.jpg	f_plate_cheese_left.jpg	f_plate_cheese_right.jpg	f_plate_cheese_front.jpg	9	6	7	8	419052	421068	422084	422617	424633	432890	8253
201	4	1	1	56	9	FN	on	f_shoe_sock_on.jpg	f_shoe_sock_front.jpg	f_shoe_sock_right.jpg	f_shoe_sock_in.jpg	7	9	6	8	433197	435213	436229	436762	438778	446736	7952
201	4	1	1	30	10	EN	right	n_basket_knife1_right.jpg	n_basket_knife1_front.jpg	n_basket_knife1_in.jpg	n_basket_knife1_on.jpg	8	7	9	6	447042	449058	450074	450608	452624	461077	8449
201	4	1	1	54	11	FN	front	f_cookingpot_brush1blue_front.jpg	f_cookingpot_brush1blue_right.jpg	f_cookingpot_brush1blue_on.jpg	f_cookingpot_brush1blue_in.jpg	9	6	8	7	461420	463436	464453	464986	467002	474717	7711
201	4	1	1	65	12	FBI	in	f_foodbox_paintbrush1plastic_in.jpg	f_foodbox_paintbrush1plastic_left.jpg	f_foodbox_paintbrush1plastic_behind.jpg	f_foodbox_paintbrush1plastic_front.jpg	7	9	6	8	474982	476998	478015	478548	480564	488342	7774
201	4	1	1	27	13	EN	left	n_jar_wristwatch_left.jpg	n_jar_wristwatch_behind.jpg	n_jar_wristwatch_on.jpg	n_jar_wristwatch_in.jpg	8	9	7	6	488594	490611	491627	492176	494192	502062	7868
201	4	1	1	32	14	FC	front	f_tray_smallbottle_front.jpg	f_tray_smallbottle_left.jpg	f_tray_smallbottle_right.jpg	f_tray_smallbottle_on.jpg	9	6	8	7	502323	504339	505355	505888	507904	515945	8036
201	4	1	1	87	15	FBE	in	f_box_treebranchwithleaves_in.jpg	f_box_treebranchwithleaves_front.jpg	f_box_treebranchwithleaves_behind.jpg	f_box_treebranchwithleaves_on.jpg	8	9	6	7	516235	518251	519267	519800	521816	528432	6612
